	Fecha	Día de la Semana	Uds.V	Base	Impuestos	Neto	Venta/Uds	Docs	Venta/Doc
1	30/12/2024	1	271	22,769.4	3,643.1	26,412.5	97.46309963	85	310.73529412
2	29/12/2024	7	786	80,439.665	12,870.335	93,310	118.71501272	143	652.51748252
3	28/12/2024	6	620	67,399.1359	10,783.8641	78,183	126.1016129	114	685.81578947
4	27/12/2024	5	492	40,806.8961	6,529.1039	47,336	96.21138211	103	459.57281553
5	26/12/2024	4	224	19,525.0008	3,123.9992	22,649	101.11160714	65	348.44615385
6	25/12/2024	3	224	16,146.0352	2,583.3648	18,729.4	83.61339286	56	334.45357143
7	23/12/2024	1	239	17,575.1728	2,812.0272	20,387.2	85.30209205	55	370.67636364
8	22/12/2024	7	456	58,243.1026	9,318.8974	67,562	148.1622807	119	567.74789916
9	21/12/2024	6	366	28,208.6208	4,513.3792	32,722	89.40437158	100	327.22
10	20/12/2024	5	290	25,651.8959	4,104.3041	29,756.2	102.60758621	61	487.80655738
11	19/12/2024	4	460	32,936.7238	5,269.8762	38,206.6	83.05782609	82	465.93414634
12	18/12/2024	3	243	14,497.8438	2,319.6562	16,817.5	69.20781893	44	382.21590909
13	17/12/2024	2	394	68,688.7953	10,990.2047	79,679	202.23096447	134	594.61940299
14	16/12/2024	1	224	15,566.3794	2,490.6206	18,057	80.61160714	53	340.69811321
15	15/12/2024	7	641	47,305.1714	7,568.8286	54,874	85.60686427	122	449.78688525
16	14/12/2024	6	529	42,208.9665	6,753.4335	48,962.4	92.55652174	114	429.49473684
17	13/12/2024	5	127	10,516.3791	1,682.6209	12,199	96.05511811	32	381.21875
18	12/12/2024	4	401	27,820.6895	4,451.3105	32,272	80.47880299	63	512.25396825
19	11/12/2024	3	152	10,419.3973	1,667.1027	12,086.5	79.51644737	23	525.5
20	10/12/2024	2	77	20,211.4657	3,233.8343	23,445.3	304.48441558	15	1,563.02
21	09/12/2024	1	39	2,725.1726	436.0274	3,161.2	81.05641026	13	243.16923077
22	08/12/2024	7	427	34,087.0687	5,453.9313	39,541	92.60187354	104	380.20192308
23	07/12/2024	6	464	47,512.0685	7,601.9315	55,114	118.78017241	98	562.3877551
24	06/12/2024	5	177	19,438.7936	3,110.2064	22,549	127.39548023	26	867.26923077
25	05/12/2024	4	110	8,034.5692	1,285.5308	9,320.1	84.72818182	39	238.97692308
26	04/12/2024	3	122	7,075.863	1,132.137	8,208	67.27868852	28	293.14285714
27	03/12/2024	2	58	5,690.5176	910.4824	6,601	113.81034483	12	550.08333333
28	02/12/2024	1	196	16,485.3448	2,637.6552	19,123	97.56632653	38	503.23684211
29	01/12/2024	7	931	69,561.5526	11,129.8474	80,691.4	86.67175081	118	683.82542373
30	30/11/2024	6	137	25,087.931	4,014.069	29,102	212.42335766	5	5,820.4
31	29/11/2024	5	383	25,924.1385	4,147.8615	30,072	78.51697128	81	371.25925926
32	28/11/2024	4	99	2,747.5	439.6	3,187.1	32.19292929	18	177.06111111
33	27/11/2024	3	106	8,269.8272	1,323.1728	9,593	90.5	15	639.53333333
34	26/11/2024	2	105	4,872.4139	779.5861	5,652	53.82857143	15	376.8
35	25/11/2024	1	49	3,999.3968	639.9032	4,639.3	94.67959184	16	289.95625
36	24/11/2024	7	346	36,621.1201	5,859.3799	42,480.5	122.77601156	80	531.00625
37	23/11/2024	6	441	43,180.7753	6,908.9247	50,089.7	113.58208617	113	443.27168142
38	22/11/2024	5	259	34,378.448	5,500.552	39,879	153.97297297	52	766.90384615
39	21/11/2024	4	65	13,288.0172	2,126.0828	15,414.1	237.14	17	906.71176471
40	20/11/2024	3	51	4,423.3623	707.7377	5,131.1	100.60980392	11	466.46363636
41	19/11/2024	2	59	5,033.6209	805.3791	5,839	98.96610169	15	389.26666667
42	18/11/2024	1	550	53,092.7592	8,494.8408	61,587.6	111.97745455	153	402.53333333
43	17/11/2024	7	612	62,717.7585	10,034.8415	72,752.6	118.87679739	152	478.63552632
44	16/11/2024	6	516	38,405.6903	6,144.9097	44,550.6	86.33837209	144	309.37916667
45	15/11/2024	5	304	35,072.7583	5,611.6417	40,684.4	133.83026316	74	549.78918919
46	14/11/2024	4	142	33,375.8619	5,340.1381	38,716	272.64788732	38	1,018.84210526
47	13/11/2024	3	37	2,179.3103	348.6897	2,528	68.32432432	7	361.14285714
48	12/11/2024	2	101	9,193.1899	1,470.9101	10,664.1	105.58514851	28	380.86071429
49	11/11/2024	1	63	6,968.1037	1,114.8963	8,083	128.3015873	19	425.42105263
50	10/11/2024	7	653	53,615.9478	8,578.5522	62,194.5	95.24425727	120	518.2875
51	09/11/2024	6	635	51,235.3461	8,197.6539	59,433	93.59527559	159	373.79245283
52	08/11/2024	5	208	13,985.8619	2,237.7381	16,223.6	77.99807692	30	540.78666667
53	07/11/2024	4	206	46,707.7588	7,473.2412	54,181	263.01456311	46	1,177.84782609
54	06/11/2024	3	202	12,168.1034	1,946.8966	14,115	69.87623762	37	381.48648649
55	05/11/2024	2	221	16,543.9752	2,647.0248	19,191	86.83710407	39	492.07692308
56	04/11/2024	1	91	7,890.6035	1,262.4965	9,153.1	100.58351648	24	381.37916667
57	03/11/2024	7	400	34,909.4833	5,585.5167	40,495	101.2375	90	449.94444444
58	02/11/2024	6	436	39,504.5684	6,320.7316	45,825.3	105.10389908	109	420.41559633
