	Fecha	Día de la Semana	Uds.V	Base	Impuestos	Neto	Venta/Uds	Docs	Venta/Doc
1	31/08/2025	7	97	19,551.73	3,128.27	22,680	233.81443299	19	1,193.68421053
2	30/08/2025	6	713	100,620.07	16,099.18	116,719.25	163.7016129	113	1,032.91371681
3	29/08/2025	5	378	102,622.2	16,419.55	119,041.75	314.92526455	86	1,384.20639535
4	28/08/2025	4	319	52,288.8	8,366.2	60,655	190.14106583	92	659.29347826
5	27/08/2025	3	369	40,424.16	6,467.84	46,892	127.07859079	85	551.67058824
6	26/08/2025	2	172	35,705.2	5,712.8	41,418	240.80232558	38	1,089.94736842
7	25/08/2025	1	184	14,687.07	2,349.93	17,037	92.5923913	42	405.64285714
8	24/08/2025	7	500	69,521.58	11,123.42	80,645	161.29	118	683.43220339
9	23/08/2025	6	450	59,596.58	9,535.42	69,132	153.62666667	80	864.15
10	22/08/2025	5	407	58,660.34	9,385.66	68,046	167.18918919	81	840.07407407
11	21/08/2025	4	395	40,999.15	6,559.85	47,559	120.40253165	105	452.94285714
12	20/08/2025	3	394	39,826.75	6,372.25	46,199	117.25634518	87	531.02298851
13	19/08/2025	2	374	39,573.32	6,331.68	45,905	122.74064171	65	706.23076923
14	18/08/2025	1	244	25,982.82	4,157.18	30,140	123.52459016	49	615.10204082
15	17/08/2025	7	262	37,269.83	5,963.17	43,233	165.01145038	64	675.515625
16	16/08/2025	6	338	42,386.21	6,781.79	49,168	145.46745562	80	614.6
17	15/08/2025	5	382	51,415.57	8,226.43	59,642	156.13089005	84	710.02380952
18	14/08/2025	4	398	50,151.58	8,024.26	58,175.84	146.17045226	80	727.198
19	13/08/2025	3	302	31,746.59	5,079.41	36,826	121.94039735	74	497.64864865
20	12/08/2025	2	235	42,369.82	6,779.18	49,149	209.14468085	54	910.16666667
21	11/08/2025	1	353	35,283.63	5,645.37	40,929	115.94617564	68	601.89705882
22	10/08/2025	7	189	24,032.75	3,845.25	27,878	147.5026455	49	568.93877551
23	09/08/2025	6	384	52,672.42	8,427.58	61,100	159.11458333	95	643.15789474
24	08/08/2025	5	158	17,919.82	2,867.18	20,787	131.56329114	38	547.02631579
25	07/08/2025	4	333	29,149.1	4,663.9	33,813	101.54054054	63	536.71428571
26	06/08/2025	3	348	32,225.88	5,156.12	37,382	107.41954023	93	401.95698925
27	05/08/2025	2	185	22,777.61	3,644.39	26,422	142.82162162	47	562.17021277
28	04/08/2025	1	183	15,443.98	2,471.02	17,915	97.89617486	49	365.6122449
29	03/08/2025	7	356	46,831.87	7,493.13	54,325	152.59831461	75	724.33333333
30	02/08/2025	6	502	60,134.45	9,621.55	69,756	138.9561753	117	596.20512821
31	01/08/2025	5	273	34,454.29	5,512.71	39,967	146.3992674	63	634.3968254
32	31/07/2025	4	527	61,117.29	9,778.71	70,896	134.52751423	121	585.91735537
33	30/07/2025	3	463	46,044.07	7,366.93	53,411	115.35853132	95	562.22105263
34	29/07/2025	2	209	16,802.61	2,688.39	19,491	93.25837321	50	389.82
35	28/07/2025	1	314	57,698.27	9,231.73	66,930	213.15286624	67	998.95522388
36	27/07/2025	7	318	52,058.63	8,329.37	60,388	189.89937107	87	694.11494253
37	26/07/2025	6	498	71,659.66	11,465.54	83,125.2	166.91807229	101	823.02178218
38	25/07/2025	5	201	24,853.98	3,976.62	28,830.6	143.4358209	45	640.68
39	24/07/2025	4	439	52,647.39	8,423.61	61,071	139.11389522	85	718.48235294
40	23/07/2025	3	493	56,465.53	9,034.47	65,500	132.86004057	76	861.84210526
41	22/07/2025	2	210	35,685.37	5,709.63	41,395	197.11904762	51	811.66666667
42	21/07/2025	1	107	9,422.42	1,507.58	10,930	102.14953271	26	420.38461538
43	20/07/2025	7	269	31,145.67	4,983.33	36,129	134.30855019	53	681.67924528
44	19/07/2025	6	349	40,370.7	6,459.3	46,830	134.18338109	69	678.69565217
45	18/07/2025	5	213	53,424.34	8,547.86	61,972.2	290.94929577	47	1,318.55744681
46	17/07/2025	4	318	26,756.04	4,280.96	31,037	97.60062893	55	564.30909091
47	16/07/2025	3	284	39,004.33	6,240.67	45,245	159.31338028	74	611.41891892
48	15/07/2025	2	147	25,035.37	4,005.63	29,041	197.55782313	34	854.14705882
49	14/07/2025	1	131	13,462.96	2,154.04	15,617	119.21374046	31	503.77419355
50	13/07/2025	7	283	43,202.25	6,912.35	50,114.6	177.08339223	61	821.55081967
51	12/07/2025	6	456	58,542.25	9,366.75	67,909	148.92324561	69	984.1884058
52	11/07/2025	5	338	40,457.81	6,473.19	46,931	138.84911243	67	700.46268657
53	10/07/2025	4	333	45,676.77	7,308.23	52,985	159.11411411	88	602.10227273
54	09/07/2025	3	617	74,977.69	11,996.31	86,974	140.96272285	142	612.49295775
55	08/07/2025	2	394	46,918.14	7,506.86	54,425	138.13451777	96	566.92708333
56	07/07/2025	1	249	26,906.59	4,305.01	31,211.6	125.34779116	42	743.13333333
57	06/07/2025	7	306	46,646.56	7,463.44	54,110	176.83006536	68	795.73529412
