	Fecha	Día de la Semana	Uds.V	Base	Impuestos	Neto	Venta/Uds	Docs	Venta/Doc
1	31/08/2025	7	142	28,607.75	4,577.25	33,185	233.6971831	39	850.8974359
2	30/08/2025	6	507	146,172.42	23,387.58	169,560	334.43786982	78	2,173.84615385
3	29/08/2025	5	571	73,981.06	11,836.94	85,818	150.29422067	96	893.9375
4	28/08/2025	4	572	87,983.26	14,077.34	102,060.6	178.42762238	107	953.83738318
5	27/08/2025	3	458	52,229.39	8,356.61	60,586	132.28384279	87	696.3908046
6	26/08/2025	2	492	77,500.08	12,399.92	89,900	182.72357724	92	977.17391304
7	25/08/2025	1	381	33,235.39	5,317.61	38,553	101.18897638	67	575.41791045
8	24/08/2025	7	388	43,575.86	6,972.14	50,548	130.27835052	76	665.10526316
9	23/08/2025	6	639	77,499.16	12,399.84	89,899	140.68701095	106	848.10377358
10	22/08/2025	5	467	101,743.11	16,278.89	118,022	252.72376874	108	1,092.7962963
11	21/08/2025	4	734	95,530.13	15,284.87	110,815	150.97411444	139	797.23021583
12	20/08/2025	3	482	42,092.3	6,734.7	48,827	101.30082988	105	465.01904762
13	19/08/2025	2	351	41,364.71	6,618.29	47,983	136.7037037	69	695.4057971
14	18/08/2025	1	400	37,843.99	6,055.01	43,899	109.7475	64	685.921875
15	17/08/2025	7	222	27,451.72	4,392.28	31,844	143.44144144	46	692.26086957
16	16/08/2025	6	407	52,375.89	8,380.11	60,756	149.27764128	67	906.80597015
17	15/08/2025	5	476	61,096.74	9,775.46	70,872.2	148.89117647	79	897.1164557
18	14/08/2025	4	461	52,778.41	8,444.59	61,223	132.80477223	114	537.04385965
19	13/08/2025	3	444	45,765.26	7,322.34	53,087.6	119.56666667	101	525.61980198
20	12/08/2025	2	347	31,512.45	5,041.95	36,554.4	105.34409222	72	507.7
21	11/08/2025	1	172	14,700.24	2,352.06	17,052.3	99.14127907	49	348.00612245
22	10/08/2025	7	194	25,174.99	4,028.01	29,203	150.53092784	45	648.95555556
23	09/08/2025	6	446	94,117.26	15,058.74	109,176	244.78923767	94	1,161.44680851
24	08/08/2025	5	375	49,472.42	7,915.58	57,388	153.03466667	73	786.1369863
25	07/08/2025	4	511	51,084.85	8,173.55	59,258.4	115.96555773	115	515.29043478
26	06/08/2025	3	403	33,926.77	5,428.23	39,355	97.65508685	85	463
27	05/08/2025	2	312	27,784.48	4,445.52	32,230	103.30128205	54	596.85185185
28	04/08/2025	1	163	14,118.82	2,258.98	16,377.8	100.47730061	49	334.24081633
29	03/08/2025	7	266	30,251.7	4,840.3	35,092	131.92481203	55	638.03636364
30	02/08/2025	6	217	27,656.91	4,425.09	32,082	147.84331797	41	782.48780488
31	01/08/2025	5	284	59,609.51	9,537.49	69,147	243.47535211	62	1,115.27419355
32	31/07/2025	4	321	28,268.53	4,522.97	32,791.5	102.15420561	66	496.84090909
33	30/07/2025	3	513	65,618.1	10,498.9	76,117	148.37621832	97	784.71134021
34	29/07/2025	2	166	10,944.84	1,751.16	12,696	76.48192771	46	276
35	28/07/2025	1	348	29,245.38	4,679.22	33,924.6	97.48448276	74	458.44054054
36	27/07/2025	7	268	30,287.92	4,846.08	35,134	131.09701493	52	675.65384615
37	26/07/2025	6	324	34,895.88	5,583.32	40,479.2	124.93580247	62	652.89032258
38	25/07/2025	5	471	60,043.12	9,606.88	69,650	147.87685775	86	809.88372093
39	24/07/2025	4	439	46,619.44	7,459.06	54,078.5	123.1856492	70	772.55
40	23/07/2025	3	426	47,710.41	7,633.59	55,344	129.91549296	72	768.66666667
41	22/07/2025	2	203	33,988.81	5,438.19	39,427	194.22167488	40	985.675
42	21/07/2025	1	362	30,613.6	4,898.1	35,511.7	98.09861878	70	507.31
43	20/07/2025	7	237	29,616.38	4,738.62	34,355	144.95780591	66	520.53030303
44	19/07/2025	6	293	41,683.48	6,669.32	48,352.8	165.02662116	54	895.42222222
45	18/07/2025	5	379	51,094.01	8,174.99	59,269	156.38258575	74	800.93243243
46	17/07/2025	4	460	45,910.39	7,345.61	53,256	115.77391304	90	591.73333333
47	16/07/2025	3	456	70,999.16	11,359.84	82,359	180.61184211	101	815.43564356
48	15/07/2025	2	388	34,486.73	5,517.87	40,004.6	103.10463918	102	392.20196078
49	14/07/2025	1	195	17,722.43	2,835.57	20,558	105.42564103	40	513.95
50	13/07/2025	7	451	46,883.53	7,501.36	54,384.89	120.58733925	84	647.43916667
51	12/07/2025	6	240	25,098.8	4,015.8	29,114.6	121.31083333	51	570.8745098
52	11/07/2025	5	471	61,537.41	9,845.99	71,383.4	151.55711253	96	743.57708333
53	10/07/2025	4	576	78,711.07	12,593.73	91,304.8	158.51527778	96	951.09166667
54	09/07/2025	3	425	39,726.6	6,356.2	46,082.8	108.43011765	99	465.48282828
55	08/07/2025	2	169	25,085.36	4,013.64	29,099	172.18343195	38	765.76315789
56	07/07/2025	1	337	47,656.88	7,625.12	55,282	164.04154303	92	600.89130435
57	06/07/2025	7	281	36,430.38	5,828.82	42,259.2	150.3886121	72	586.93333333
58	05/07/2025	6	247	31,336.72	5,013.88	36,350.6	147.16842105	54	673.15925926
59	04/07/2025	5	495	100,783.61	16,125.39	116,909	236.17979798	132	885.67424242
60	03/07/2025	4	222	56,275.81	9,004.19	65,280	294.05405405	70	932.57142857
61	02/07/2025	3	156	89,248.3	14,279.7	103,528	663.64102564	16	6,470.5
62	01/07/2025	2	345	46,025.88	7,364.12	53,390	154.75362319	70	762.71428571
63	30/06/2025	1	265	50,437.1	8,069.9	58,507	220.78113208	58	1,008.74137931
64	29/06/2025	7	401	54,128.98	8,660.62	62,789.6	156.58254364	101	621.67920792
65	28/06/2025	6	289	65,136.21	10,421.79	75,558	261.44636678	24	3,148.25
66	27/06/2025	5	513	105,411.33	16,865.92	122,277.25	238.35721248	178	686.9508427
67	26/06/2025	4	422	61,814.32	9,890.28	71,704.6	169.91611374	99	724.28888889
68	25/06/2025	3	307	40,594.84	6,495.16	47,090	153.38762215	69	682.46376812
69	24/06/2025	2	135	80,321.53	12,851.47	93,173	690.17037037	37	2,518.18918919
70	23/06/2025	1	132	19,254.76	3,080.74	22,335.5	169.20833333	24	930.64583333
71	22/06/2025	7	703	89,855.61	14,376.89	104,232.5	148.26813656	199	523.78140704
72	21/06/2025	6	565	81,924.98	13,108.02	95,033	168.2	123	772.62601626
