	Fecha	Día de la Semana	Uds.V	Base	Impuestos	Neto	Venta/Uds	Docs	Venta/Doc
1	31/08/2025	7	133	24,222.39	3,875.61	28,098	211.26315789	34	826.41176471
2	30/08/2025	6	590	80,663.74	12,906.26	93,570	158.59322034	124	754.59677419
3	29/08/2025	5	822	102,779.35	16,444.65	119,224	145.04136253	153	779.24183007
4	28/08/2025	4	960	68,409.74	10,945.56	79,355.3	82.66177083	135	587.81703704
5	27/08/2025	3	803	88,655.16	14,184.84	102,840	128.06973848	169	608.52071006
6	26/08/2025	2	415	51,332.23	8,213.07	59,545.3	143.4826506	100	595.453
7	25/08/2025	1	633	31,205.63	4,992.87	36,198.5	57.18562401	66	548.46212121
8	24/08/2025	7	628	76,300.42	12,208.08	88,508.5	140.93710191	100	885.085
9	23/08/2025	6	830	58,678.49	9,388.51	68,067	82.00843373	113	602.36283186
10	22/08/2025	5	860	65,930.18	10,548.82	76,479	88.92906977	103	742.51456311
11	21/08/2025	4	398	38,949.12	6,231.88	45,181	113.5201005	87	519.32183908
12	20/08/2025	3	368	37,784.1	6,045.4	43,829.5	119.10190217	86	509.64534884
13	19/08/2025	2	248	25,778.76	4,124.54	29,903.3	120.57782258	67	446.31791045
14	18/08/2025	1	825	35,116.15	5,618.55	40,734.7	49.37539394	59	690.41864407
15	17/08/2025	7	560	68,584.46	10,973.54	79,558	142.06785714	108	736.64814815
16	16/08/2025	6	1,083	105,386.67	16,861.83	122,248.5	112.87950139	141	867.0106383
17	15/08/2025	5	596	59,966.42	9,594.58	69,561	116.71308725	108	644.08333333
18	14/08/2025	4	552	59,162.94	9,466.06	68,629	124.32789855	101	679.4950495
19	13/08/2025	3	506	41,681.95	6,669.05	48,351	95.55533597	90	537.23333333
20	12/08/2025	2	335	33,652.609	5,384.391	39,037	116.52835821	86	453.91860465
21	11/08/2025	1	395	34,002.71	5,440.39	39,443.1	99.85594937	51	773.39411765
22	10/08/2025	7	416	47,956.88	7,673.12	55,630	133.72596154	87	639.42528736
23	09/08/2025	6	675	71,884.43	11,501.57	83,386	123.53481481	114	731.45614035
24	08/08/2025	5	679	68,663.26	10,986.14	79,649.4	117.30397644	135	589.99555556
25	07/08/2025	4	472	74,075.55	11,852.05	85,927.6	182.05	106	810.63773585
26	06/08/2025	3	387	36,663.77	5,866.23	42,530	109.89664083	76	559.60526316
27	05/08/2025	2	437	47,191.38	7,550.62	54,742	125.26773455	67	817.04477612
28	04/08/2025	1	293	26,661.22	4,265.78	30,927	105.55290102	50	618.54
29	03/08/2025	7	383	43,324.1	6,931.9	50,256	131.21671018	84	598.28571429
30	02/08/2025	6	375	50,803.44	8,128.56	58,932	157.152	89	662.15730337
31	01/08/2025	5	508	58,039.9	9,286.34	67,326.24	132.5319685	100	673.2624
32	31/07/2025	4	457	44,473.29	7,115.71	51,589	112.88621444	111	464.76576577
33	30/07/2025	3	376	40,218.14	6,434.86	46,653	124.07712766	82	568.93902439
34	29/07/2025	2	287	36,796.85	5,887.45	42,684.3	148.72578397	55	776.07818182
35	28/07/2025	1	221	19,121.01	3,059.34	22,180.35	100.36357466	46	482.18152174
36	27/07/2025	7	431	57,542.72	9,206.78	66,749.5	154.8712297	100	667.495
37	26/07/2025	6	593	63,729.35	10,196.65	73,926	124.66441821	124	596.17741935
38	25/07/2025	5	478	57,884.07	9,261.43	67,145.5	140.47175732	100	671.455
39	24/07/2025	4	520	51,110.16	8,177.64	59,287.8	114.015	86	689.39302326
40	23/07/2025	3	383	38,201.15	6,112.15	44,313.3	115.70052219	72	615.4625
41	22/07/2025	2	311	33,733.65	5,397.35	39,131	125.82315113	55	711.47272727
42	21/07/2025	1	331	32,152.65	5,144.35	37,297	112.67975831	71	525.30985915
43	20/07/2025	7	483	58,586.58	9,373.92	67,960.5	140.70496894	100	679.605
44	19/07/2025	6	776	82,317.18	13,170.82	95,488	123.05154639	143	667.74825175
45	18/07/2025	5	463	56,950.9	9,112.1	66,063	142.68466523	98	674.1122449
46	17/07/2025	4	476	68,500.4	10,960.1	79,460.5	166.93382353	108	735.74537037
47	16/07/2025	3	572	51,978.87	8,316.63	60,295.5	105.41171329	123	490.20731707
48	15/07/2025	2	216	21,192.27	3,390.73	24,583	113.81018519	43	571.69767442
49	14/07/2025	1	291	46,134.5	7,381.5	53,516	183.90378007	42	1,274.19047619
50	13/07/2025	7	507	78,993.07	12,638.93	91,632	180.73372781	94	974.80851064
51	12/07/2025	6	687	99,784.47	15,965.53	115,750	168.48617176	90	1,286.11111111
52	11/07/2025	5	368	52,057.76	8,329.24	60,387	164.0951087	91	663.59340659
53	10/07/2025	4	363	36,590.34	5,854.46	42,444.8	116.92782369	90	471.60888889
54	09/07/2025	3	513	84,153.44	13,464.56	97,618	190.28849903	130	750.90769231
55	08/07/2025	2	175	17,299.94	2,767.96	20,067.9	114.67371429	35	573.36857143
56	07/07/2025	1	292	28,124.68	4,499.92	32,624.6	111.72808219	48	679.67916667
57	06/07/2025	7	172	15,262.08	2,441.92	17,704	102.93023256	34	520.70588235
58	05/07/2025	6	478	85,173.8	13,627.9	98,801.7	206.69811715	108	914.83055556
59	04/07/2025	5	480	58,140.54	9,302.46	67,443	140.50625	119	566.74789916
